A	B	C	D	E	checksum	sequenceField
Foobar	2008-12-31 18:29:12	19820319	Y	123.456	2655304428	1
Foobar	2008-12-31 18:29:12	19820319	Y	123.456	2655304428	2
Foobar	2008-12-31 18:29:12	19820319	Y	123.456	2655304428	3
Foobar	2008-12-31 18:29:12	19820319	Y	123.456	2655304428	4
Foobar	2008-12-31 18:29:12	19820319	Y	123.456	2655304428	5
Foobar	2008-12-31 18:29:12	19820319	Y	123.456	2655304428	6
Foobar	2008-12-31 18:29:12	19820319	Y	123.456	2655304428	7
Foobar	2008-12-31 18:29:12	19820319	Y	123.456	2655304428	8
Foobar	2008-12-31 18:29:12	19820319	Y	123.456	2655304428	9
Foobar	2008-12-31 18:29:12	19820319	Y	123.456	2655304428	10
